Temp: 69.58, Best Cost: 3586587.8454, Round Elapsed time: 4.94 s, probability_avg : 0.14
Temp: 64.30, Best Cost: 3542671.9276, Round Elapsed time: 5.00 s, probability_avg : 0.13
Temp: 59.43, Best Cost: 3527947.1291, Round Elapsed time: 5.01 s, probability_avg : 0.13
Temp: 54.92, Best Cost: 3505921.9956, Round Elapsed time: 2.47 s, probability_avg : 0.13
Temp: 50.76, Best Cost: 3483878.5938, Round Elapsed time: 4.84 s, probability_avg : 0.14
Temp: 46.91, Best Cost: 3456049.4430, Round Elapsed time: 4.87 s, probability_avg : 0.13
Temp: 43.35, Best Cost: 3426466.8852, Round Elapsed time: 4.99 s, probability_avg : 0.13
Temp: 40.06, Best Cost: 3406849.6230, Round Elapsed time: 5.01 s, probability_avg : 0.13
Temp: 37.02, Best Cost: 3389997.3955, Round Elapsed time: 5.02 s, probability_avg : 0.13
Temp: 34.22, Best Cost: 3375919.8720, Round Elapsed time: 5.01 s, probability_avg : 0.13
Temp: 31.62, Best Cost: 3352471.5564, Round Elapsed time: 2.73 s, probability_avg : 0.11
Temp: 29.22, Best Cost: 3341578.0482, Round Elapsed time: 5.03 s, probability_avg : 0.11
Temp: 27.01, Best Cost: 3315831.0134, Round Elapsed time: 4.99 s, probability_avg : 0.13
Temp: 24.96, Best Cost: 3303420.8804, Round Elapsed time: 4.98 s, probability_avg : 0.13
Temp: 23.07, Best Cost: 3282625.5224, Round Elapsed time: 5.00 s, probability_avg : 0.12
Temp: 21.32, Best Cost: 3270104.5078, Round Elapsed time: 4.98 s, probability_avg : 0.12
Temp: 19.70, Best Cost: 3257654.3324, Round Elapsed time: 2.39 s, probability_avg : 0.12
Temp: 18.21, Best Cost: 3239593.7548, Round Elapsed time: 4.99 s, probability_avg : 0.12
Temp: 16.83, Best Cost: 3228082.3718, Round Elapsed time: 4.93 s, probability_avg : 0.11
Temp: 15.55, Best Cost: 3218090.9384, Round Elapsed time: 4.95 s, probability_avg : 0.12
Temp: 14.37, Best Cost: 3198584.3655, Round Elapsed time: 5.00 s, probability_avg : 0.12
Temp: 13.28, Best Cost: 3177330.9420, Round Elapsed time: 5.02 s, probability_avg : 0.12
Temp: 12.28, Best Cost: 3165620.3280, Round Elapsed time: 5.03 s, probability_avg : 0.10
Temp: 11.34, Best Cost: 3153641.5320, Round Elapsed time: 2.68 s, probability_avg : 0.13
Temp: 10.48, Best Cost: 3135288.6768, Round Elapsed time: 5.00 s, probability_avg : 0.11
Temp: 9.69, Best Cost: 3116058.7199, Round Elapsed time: 4.98 s, probability_avg : 0.11
Temp: 8.95, Best Cost: 3102900.9900, Round Elapsed time: 4.93 s, probability_avg : 0.11
Temp: 8.28, Best Cost: 3090346.4158, Round Elapsed time: 5.01 s, probability_avg : 0.12
Temp: 7.65, Best Cost: 3077225.9073, Round Elapsed time: 4.98 s, probability_avg : 0.12
Temp: 7.07, Best Cost: 3064674.8892, Round Elapsed time: 4.96 s, probability_avg : 0.12
Temp: 6.53, Best Cost: 3041266.8468, Round Elapsed time: 2.59 s, probability_avg : 0.11
Temp: 6.04, Best Cost: 3027927.4687, Round Elapsed time: 4.94 s, probability_avg : 0.11
Temp: 5.58, Best Cost: 3016012.3801, Round Elapsed time: 5.03 s, probability_avg : 0.11
Temp: 5.16, Best Cost: 3006462.4589, Round Elapsed time: 4.99 s, probability_avg : 0.11
Temp: 4.77, Best Cost: 2998148.6232, Round Elapsed time: 5.05 s, probability_avg : 0.10
Temp: 4.40, Best Cost: 2991677.9112, Round Elapsed time: 5.04 s, probability_avg : 0.11
Temp: 4.07, Best Cost: 2980881.3406, Round Elapsed time: 3.21 s, probability_avg : 0.11
